Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
PTEN	BZS, MHAM, MMAC1, PTEN1, TEP1	ENSG00000171862	Phosphatase and tensin homolog	10	87863113-87971930	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004076, HPA031335	Uncertain		Supported	Nucleoplasm<br>Cytosol	Renal cancer:7.35e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 83.6	Expressed in all		
PTK6	BRK	ENSG00000101213	Protein tyrosine kinase 6	20	63528001-63537370	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB032952, HPA036070, HPA036071	Approved		Supported	Nucleoplasm<br>Nuclear bodies<br>Plasma membrane<br>Cytosol	Renal cancer:1.26e-9 (unfavourable), Pancreatic cancer:1.96e-4 (unfavourable)	Mixed	Tissue enhanced		esophagus: 61.0;skin: 60.4	duodenum: 29.2	Cell line enhanced		A-431: 19.4;CAPAN-2: 36.5;HaCaT: 30.0;hTCEpi: 32.5;RT4: 21.3;T-47d: 23.7
PTPN11	BPTP3, NS1, PTP2C, SH-PTP2, SHP-2, SHP2	ENSG00000179295	Protein tyrosine phosphatase, non-receptor type 11	12	112418351-112509913	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB005377	Approved		Supported	Nucleus<br>Nucleoli<br>Actin filaments<br>Cytosol		Expressed in all	Expressed in all			cerebral cortex: 126.0	Expressed in all		
PTPN13	PTP-BAS, PTP-BL, PTP1E, PTPL1	ENSG00000163629	Protein tyrosine phosphatase, non-receptor type 13	4	86594315-86815171	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB002213, HPA048888, HPA065290	Approved		Approved	Plasma membrane<br>Cytosol		Mixed	Mixed			skin: 65.9	Cell line enhanced		AF22: 114.7
PTPRB	PTPB	ENSG00000127329	Protein tyrosine phosphatase, receptor type B	12	70515866-70637440	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB004782, HPA067868	Uncertain		Approved	Vesicles<br>Plasma membrane<br>Cell Junctions	Renal cancer:1.02e-4 (favourable), Liver cancer:6.05e-4 (favourable)	Expressed in all	Mixed			lung: 54.0	Cell line enhanced		EFO-21: 22.9;HUVEC TERT2: 51.3;TIME: 74.1
PTPRC	CD45, GP180, LCA, T200	ENSG00000081237	Protein tyrosine phosphatase, receptor type C	1	198638671-198757283	Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB000052, HPA000440, CAB002800, CAB056154, CAB068221	Enhanced				Renal cancer:2.42e-4 (unfavourable)	Expressed in all	Expressed in all			lymph node: 372.4	Cell line enhanced		Daudi: 151.8;HEL: 73.7;HL-60: 73.8;MOLT-4: 105.0;U-698: 84.9;U-937: 62.5
PTPRK	R-PTP-kappa	ENSG00000152894	Protein tyrosine phosphatase, receptor type K	6	127968779-128520674	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA054056, HPA054822	Uncertain		Supported	Vesicles<br>Plasma membrane<br>Cell Junctions	Renal cancer:9.33e-5 (favourable), Pancreatic cancer:1.99e-4 (unfavourable)	Expressed in all	Mixed			gallbladder: 27.8	Mixed		
PTPRT	KIAA0283, RPTPrho	ENSG00000196090	Protein tyrosine phosphatase, receptor type T	20	42072752-43189970	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA017336, CAB069423	Approved					Tissue enhanced	Group enriched	5	cerebral cortex: 24.3;fallopian tube: 17.4	placenta: 4.0	Cell line enhanced		BEWO: 1.1
PWWP2A	KIAA1935	ENSG00000170234	PWWP domain containing 2A	5	160061801-160119423	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA046733, HPA058233	Uncertain		Supported	Nucleoplasm<br>Focal adhesion sites	Urothelial cancer:3.51e-4 (favourable), Renal cancer:3.70e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 15.4	Expressed in all		
QKI	QK3	ENSG00000112531	QKI, KH domain containing RNA binding	6	163414000-163578596	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA019123, CAB022602	Enhanced	Supported	Supported	Nucleoplasm	Renal cancer:2.31e-5 (unfavourable), Liver cancer:1.27e-4 (unfavourable), Stomach cancer:3.69e-4 (unfavourable)	Tissue enriched	Expressed in all			cerebral cortex: 359.6	Expressed in all		
RABEP1	neurocrescin, RAB5EP, rabaptin-5, RABPT5	ENSG00000029725	Rabaptin, RAB GTPase binding effector protein 1	17	5282265-5385812	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB004549, HPA019669, HPA024235, HPA024691	Enhanced		Enhanced	Vesicles	Pancreatic cancer:6.43e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 88.9	Expressed in all		
RAC1	p21-Rac1, Rac-1, TC-25	ENSG00000136238	Ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	7	6374523-6403977	Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB035994, HPA047820	Approved		Approved	Nucleus<br>Nucleoli<br>Cytosol	Liver cancer:1.74e-5 (unfavourable), Pancreatic cancer:4.57e-5 (unfavourable), Renal cancer:2.11e-4 (unfavourable), Lung cancer:4.59e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 281.6	Expressed in all		
RAD21	hHR21, KIAA0078, SCC1	ENSG00000164754	RAD21 cohesin complex component	8	116845935-116874866	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA020044, CAB022065	Supported		Enhanced	Nucleoplasm	Liver cancer:1.71e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 162.4	Expressed in all		
RAD51B	hREC2, R51H2, RAD51L1, REC2	ENSG00000182185	RAD51 paralog B	14	67819779-68730218	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB016191, HPA051869	Enhanced		Approved	Nucleoplasm<br>Nuclear bodies		Mixed	Mixed			epididymis: 11.0	Expressed in all		
RAF1	c-Raf, CRAF, Raf-1	ENSG00000132155	Raf-1 proto-oncogene, serine/threonine kinase	3	12583601-12664226	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA002640, CAB019291	Approved		Approved	Nuclear speckles		Expressed in all	Expressed in all			parathyroid gland: 100.7	Expressed in all		
RALGDS	RalGEF, RGDS, RGF	ENSG00000160271	Ral guanine nucleotide dissociation stimulator	9	133097720-133149334	Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA025961, CAB032582	Approved		Approved	Nucleus	Cervical cancer:4.19e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 52.9	Expressed in all		
RANBP17		ENSG00000204764	RAN binding protein 17	5	170861870-171300015	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA029568, HPA029569	Uncertain		Approved	Nuclear membrane<br>Nuclear bodies<br>Cytosol		Mixed	Mixed			testis: 2.2	Mixed		
RANBP2	ADANE, ANE1, NUP358	ENSG00000153201	RAN binding protein 2	2	108719481-108785811	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA018437, HPA023960, CAB034063, HPA049497, HPA051675, HPA067564	Supported					Expressed in all	Expressed in all			parathyroid gland: 74.9	Expressed in all		
RAP1GDS1	SmgGDS	ENSG00000138698	Rap1 GTPase-GDP dissociation stimulator 1	4	98261384-98443861	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA019060	Approved		Supported	Cytosol	Renal cancer:2.00e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 93.9	Expressed in all		
RARA	NR1B1, RAR	ENSG00000131759	Retinoic acid receptor alpha	17	40309192-40357643	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA058282			Supported	Nucleus<br>Cytosol	Endometrial cancer:2.60e-4 (favourable)	Expressed in all	Expressed in all			gallbladder: 68.6	Expressed in all		
RB1	OSRC, PPP1R130, RB	ENSG00000139687	RB transcriptional corepressor 1	13	48303751-48481986	Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB000095, CAB016687, HPA050082	Supported		Enhanced	Nucleoplasm	Ovarian cancer:6.92e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 36.1	Mixed		
RBM10	DXS8237E, GPATC9, GPATCH9, KIAA0122, ZRANB5	ENSG00000182872	RNA binding motif protein 10	X	47144869-47186813	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA034972, HPA057372	Approved		Enhanced	Nuclear speckles	Pancreatic cancer:2.86e-6 (favourable), Cervical cancer:6.71e-4 (favourable)	Expressed in all	Expressed in all			ovary: 35.1	Expressed in all		
RBM15	OTT, OTT1	ENSG00000162775	RNA binding motif protein 15	1	110338506-110346681	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB015201, HPA019824, HPA049642	Supported		Enhanced	Nucleoplasm	Renal cancer:1.37e-4 (unfavourable), Liver cancer:7.61e-4 (unfavourable), Stomach cancer:7.97e-4 (favourable)	Expressed in all	Mixed			bone marrow: 27.9	Expressed in all		
REL	c-Rel, I-Rel	ENSG00000162924	REL proto-oncogene, NF-kB subunit	2	60881521-60931610	Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Evidence at protein level	CAB004404	Uncertain					Mixed	Mixed			bone marrow: 29.8	Expressed in all		
RET	CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, PTC, RET51	ENSG00000165731	Ret proto-oncogene	10	43077027-43130351	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002581, HPA008356, HPA008495, CAB018342	Approved	Supported	Supported	Vesicles<br>Plasma membrane<br>Cytosol	Endometrial cancer:5.02e-4 (unfavourable)	Tissue enhanced	Tissue enriched	5	parathyroid gland: 154.5	adrenal gland: 29.8	Cell line enriched	5	SH-SY5Y: 404.3
RHOA	ARH12, ARHA, Rho12, RhoA, RHOH12	ENSG00000067560	Ras homolog family member A	3	49359145-49412998	Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB005052	Approved				Renal cancer:3.21e-6 (favourable), Colorectal cancer:3.08e-4 (favourable), Liver cancer:9.15e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 592.0	Expressed in all		
RHOH	ARHH, RhoH, TTF	ENSG00000168421	Ras homolog family member H	4	40191053-40246967	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA030345	Uncertain					Mixed	Tissue enhanced		lymph node: 98.3;tonsil: 77.5	appendix: 47.7	Cell line enhanced		Daudi: 89.6;HMC-1: 81.4;MOLT-4: 142.8;U-266/70: 49.6;U-698: 79.5
RMI2	BLAP18, C16orf75, MGC24665	ENSG00000175643	RecQ mediated genome instability 2	16	11249619-11351762	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA040995	Uncertain		Supported	Nuclear speckles<br>Cytosol	Liver cancer:2.77e-5 (unfavourable), Cervical cancer:5.69e-5 (favourable)	Expressed in all	Mixed			lymph node: 36.9	Expressed in all		
RNF213	C17orf27, KIAA1554, KIAA1618, MYMY2, NET57	ENSG00000173821	Ring finger protein 213	17	80260866-80398786	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA003347, HPA026790	Approved		Supported	Cytosol	Endometrial cancer:4.65e-5 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 65.3	Expressed in all		
RNF43	DKFZp781H0392, FLJ20315, URCC	ENSG00000108375	Ring finger protein 43	17	58352500-58417595	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA008079	Uncertain				Renal cancer:6.04e-9 (favourable)	Tissue enhanced	Mixed			duodenum: 23.4	Cell line enhanced		CACO-2: 20.6;Hep G2: 33.5
ROS1	c-ros-1, MCF3, ROS	ENSG00000047936	ROS proto-oncogene 1, receptor tyrosine kinase	6	117288300-117425855	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA049098, HPA072424	Uncertain		Approved	Vesicles		Tissue enriched	Group enriched	18	epididymis: 70.9;lung: 47.2	seminal vesicle: 3.2	Cell line enhanced		HSkMC: 7.5;hTCEpi: 15.7;LHCN-M2: 12.7
RPL10	DXS648, DXS648E, FLJ23544, L10, NOV, QM	ENSG00000147403	Ribosomal protein L10	X	154389955-154409168	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	CAB010339, HPA011311	Enhanced		Enhanced	Endoplasmic reticulum<br>Cytosol	Renal cancer:7.67e-6 (unfavourable)	Expressed in all	Expressed in all			ovary: 9682.7	Expressed in all		
RPL22	EAP, L22	ENSG00000116251	Ribosomal protein L22	1	6181269-6209389	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA068294			Approved	Nucleus<br>Nucleoli		Expressed in all	Expressed in all			ovary: 1343.4	Expressed in all		
RPL5	L5, PPP1R135	ENSG00000122406	Ribosomal protein L5	1	92832025-92841924	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA043717, HPA054444	Approved		Supported	Nucleoli<br>Endoplasmic reticulum<br>Cytosol	Renal cancer:6.81e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 4042.9	Expressed in all		
RPN1	OST1	ENSG00000163902	Ribophorin I	3	128619970-128681075	Cancer-related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB009748, HPA026828, HPA051520	Enhanced		Enhanced	Endoplasmic reticulum	Liver cancer:4.80e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 422.3	Expressed in all		
RSPO2	MGC35555	ENSG00000147655	R-spondin 2	8	107899316-108083648	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA024764, CAB025900, HPA053068	Approved					Mixed	Tissue enhanced		cerebral cortex: 20.2;placenta: 25.7	prostate: 15.8	Cell line enhanced		HEK93: 1.7;HEL: 1.6;NTERA-2: 1.0;U-138 MG: 1.8;U-266/70: 4.2
RSPO3	FLJ14440, THSD2	ENSG00000146374	R-spondin 3	6	127118604-127197765	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA029957	Approved					Mixed	Tissue enhanced		endometrium: 103.2;smooth muscle: 102.9	placenta: 73.2	Cell line enhanced		A549: 24.0;U-138 MG: 5.6;U-87 MG: 5.4
RUNX1	AML1, AMLCR1, CBFA2, PEBP2A2	ENSG00000159216	Runt related transcription factor 1	21	34787801-36004667	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004176, HPA037912	Enhanced		Enhanced	Nucleoplasm<br>Vesicles	Renal cancer:3.44e-15 (unfavourable)	Expressed in all	Mixed			breast: 34.0	Cell line enhanced		HEL: 225.2
RUNX1T1	AML1T1, CBFA2T1, CDR, ETO, MTG8, ZMYND2	ENSG00000079102	RUNX1 translocation partner 1	8	91954967-92103286	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA049852, HPA070951	Approved		Supported	Nucleoplasm		Mixed	Mixed			cervix, uterine: 12.8	Cell line enhanced		Daudi: 14.0;HEL: 32.2
SALL4	dJ1112F19.1, ZNF797	ENSG00000101115	Spalt like transcription factor 4	20	51782331-51802520	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015291, HPA015791	Enhanced		Enhanced	Nucleoplasm		Tissue enriched	Group enriched	7	parathyroid gland: 6.7;prostate: 1.4;testis: 5.8;thyroid gland: 3.5	urinary bladder: 0.6	Cell line enhanced		AF22: 24.7;AN3-CA: 16.2;BEWO: 32.0;NTERA-2: 60.1;SiHa: 16.5
SDC4	amphiglycan, ryudocan, SYND4	ENSG00000124145	Syndecan 4	20	45325288-45348424	Cancer-related genes, Predicted membrane proteins, Transporters	Evidence at protein level	HPA005716, CAB013240	Supported		Approved	Golgi apparatus<br>Plasma membrane	Renal cancer:2.44e-7 (favourable), Thyroid cancer:2.67e-4 (favourable), Pancreatic cancer:4.20e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 250.2	Mixed		
SDHA	FP, SDH2, SDHF	ENSG00000073578	Succinate dehydrogenase complex flavoprotein subunit A	5	218241-256700	Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB034929, HPA041981, HPA064582	Enhanced		Enhanced	Mitochondria	Renal cancer:9.53e-8 (favourable), Breast cancer:6.00e-4 (unfavourable)	Expressed in all	Expressed in all			heart muscle: 248.9	Expressed in all		
SEPT5	H5, HCDCREL-1, PNUTL1	ENSG00000184702	Septin 5	22	19714464-19724772	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB016120, HPA029095, HPA063885	Enhanced		Approved	Nucleoplasm<br>Actin filaments<br>Cytosol	Renal cancer:6.87e-6 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 386.8	Cell line enhanced		K-562: 211.0
SEPT6	KIAA0128, MGC16619, MGC20339, SEP2, SEPT2	ENSG00000125354	Septin 6	X	119615724-119693370	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA003459, HPA005665	Supported		Approved	Cytosol		Expressed in all	Mixed			lymph node: 140.7	Cell line enhanced		MOLT-4: 239.1;REH: 246.9;SH-SY5Y: 417.7
SEPT9	AF17q25, KIAA0991, MSF, MSF1, PNUTL4, SeptD1	ENSG00000184640	Septin 9	17	77280569-77500596	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA042564, HPA050627	Approved		Enhanced	Actin filaments	Liver cancer:1.61e-5 (unfavourable)	Expressed in all	Expressed in all			lymph node: 268.9	Expressed in all		
SET	2PP2A, IPP2A2, PHAPII	ENSG00000119335	SET nuclear proto-oncogene	9	128683424-128696400	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB005232, HPA063683	Supported		Supported	Nucleoplasm<br>Lipid droplets	Liver cancer:9.41e-7 (unfavourable)	Expressed in all	Expressed in all			lymph node: 361.2	Expressed in all		
SETBP1	KIAA0437, SEB	ENSG00000152217	SET binding protein 1	18	44680173-45068510	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA049022, HPA057259	Uncertain		Supported	Nucleus<br>Nuclear bodies<br>Cytosol	Renal cancer:6.34e-8 (favourable)	Mixed	Expressed in all			seminal vesicle: 13.8	Cell line enhanced		AF22: 15.8;Karpas-707: 45.8
SETD2	FLJ23184, HIF-1, HYPB, KIAA1732, KMT3A	ENSG00000181555	SET domain containing 2	3	47016429-47163967	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA042451	Approved		Approved	Nuclear speckles<br>Cytosol	Renal cancer:7.99e-6 (favourable), Melanoma:8.19e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 31.8	Expressed in all		
SF3B1	Hsh155, Prp10, PRPF10, SAP155, SF3b155	ENSG00000115524	Splicing factor 3b subunit 1	2	197389784-197435091	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA050275	Approved		Enhanced	Nuclear speckles		Expressed in all	Expressed in all			endometrium: 348.2	Expressed in all		
SFPQ	PPP1R140, PSF	ENSG00000116560	Splicing factor proline and glutamine rich	1	35176378-35193148	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009886, HPA047513, HPA054689	Enhanced		Enhanced	Nucleoplasm	Liver cancer:7.91e-13 (unfavourable), Breast cancer:9.56e-5 (favourable)	Expressed in all	Expressed in all			bone marrow: 135.5	Expressed in all		
SFRP4	FRP-4, frpHE	ENSG00000106483	Secreted frizzled related protein 4	7	37905932-38025695	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA009712, HPA050585	Enhanced				Renal cancer:1.36e-5 (unfavourable)	Expressed in all	Group enriched	5	cervix, uterine: 935.5;endometrium: 776.1;fallopian tube: 338.6	smooth muscle: 130.5	Cell line enhanced		ASC diff: 6.5;HSkMC: 2.7;U-937: 2.9
SH2B3	IDDM20, LNK	ENSG00000111252	SH2B adaptor protein 3	12	111405948-111451623	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA005483	Approved		Approved	Nucleoplasm	Renal cancer:6.20e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 51.1	Cell line enhanced		hTEC/SVTERT24-B: 141.0;U-87 MG: 207.2;WM-115: 163.2
SH3GL1	CNSA1, EEN, MGC111371, SH3D2B, SH3P8	ENSG00000141985	SH3 domain containing GRB2 like 1, endophilin A2	19	4360370-4400547	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA021485	Approved		Enhanced	Cytosol	Renal cancer:9.36e-8 (unfavourable), Liver cancer:1.10e-4 (unfavourable), Cervical cancer:1.50e-4 (favourable), Endometrial cancer:1.86e-4 (favourable)	Expressed in all	Expressed in all			esophagus: 114.5	Expressed in all		
SHTN1	KIAA1598, shootin-1, shootin1	ENSG00000187164	Shootin 1	10	116881482-117126586	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA037942, HPA037943	Enhanced	Approved	Approved	Nucleus<br>Plasma membrane<br>Cytosol	Urothelial cancer:5.08e-6 (unfavourable), Prostate cancer:5.07e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 36.1	parathyroid gland: 18.7	Mixed		
SLC34A2	NAPI-3B	ENSG00000157765	Solute carrier family 34 member 2	4	25655301-25678748	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA037989	Enhanced					Tissue enhanced	Tissue enriched	10	lung: 1121.1	fallopian tube: 111.8	Group enriched	76	BEWO: 31.0;EFO-21: 114.1;RPTEC TERT1: 66.5
SLC45A3	IPCA-2, IPCA-6, IPCA-8, PCANAP2, PCANAP6, PCANAP8, prostein	ENSG00000158715	Solute carrier family 45 member 3	1	205657851-205680459	Cancer-related genes, Predicted membrane proteins, Transporters	Evidence at protein level	HPA019073, HPA019075	Enhanced		Approved	Nucleoplasm<br>Vesicles	Endometrial cancer:4.04e-5 (unfavourable), Urothelial cancer:7.33e-5 (favourable)	Tissue enriched	Tissue enriched	30	prostate: 505.2	stomach: 16.5	Cell line enriched	28	HMC-1: 749.2
SMAD2	JV18-1, MADH2, MADR2	ENSG00000175387	SMAD family member 2	18	47808957-47931146	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level	CAB025507, HPA067203, CAB073546	Approved		Supported	Nucleus<br>Nucleoli<br>Cytosol	Liver cancer:9.44e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 126.7	Expressed in all		
SMAD3	HsT17436, JV15-2, MADH3	ENSG00000166949	SMAD family member 3	15	67063763-67195195	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB008094, HPA046386, HPA067203, CAB069409	Approved		Enhanced	Nucleoplasm<br>Cytosol	Pancreatic cancer:2.48e-4 (unfavourable)	Expressed in all	Expressed in all			esophagus: 54.2	Expressed in all		
SMAD4	DPC4, MADH4	ENSG00000141646	SMAD family member 4	18	51028394-51085045	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA019154	Approved		Supported	Nucleoplasm<br>Centrosome<br>Cytosol	Renal cancer:1.92e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 39.3	Expressed in all		
SMARCA4	BAF190, BRG1, FLJ39786, hSNF2b, SNF2, SNF2-BETA, SNF2L4, SNF2LB, SWI2	ENSG00000127616	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	19	10961001-11065395	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004208	Supported		Supported	Nucleoplasm	Liver cancer:1.11e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 39.5	Expressed in all		
SMARCB1	BAF47, hSNFS, Ini1, PPP1R144, RDT, Sfh1p, SNF5L1, Snr1	ENSG00000099956	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	22	23786963-23834516	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB009196, HPA018248, HPA019127	Supported		Supported	Nucleoplasm<br>Nucleoli fibrillar center	Renal cancer:1.14e-6 (favourable), Liver cancer:6.52e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 51.2	Expressed in all		
SMARCD1	BAF60A, CRACD1, Rsc6p	ENSG00000066117	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	12	50084972-50100712	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA004101	Supported		Approved	Nucleoplasm<br>Vesicles	Liver cancer:2.53e-8 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 86.5	Expressed in all		
SMO	FZD11, SMOH	ENSG00000128602	Smoothened, frizzled class receptor	7	129188872-129213545	Cancer-related genes, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB011446	Approved					Expressed in all	Mixed			ovary: 30.4	Cell line enhanced		AN3-CA: 84.8;NTERA-2: 69.7
SND1	p100, TDRD11	ENSG00000197157	Staphylococcal nuclease and tudor domain containing 1	7	127652180-128092609	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA002529, HPA002632, CAB019323	Enhanced		Enhanced	Cytosol	Endometrial cancer:1.95e-4 (favourable)	Expressed in all	Expressed in all			placenta: 122.3	Expressed in all		
SOCS1	Cish1, JAB, SOCS-1, SSI-1, TIP3	ENSG00000185338	Suppressor of cytokine signaling 1	16	11254405-11256179	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB010355, HPA074108	Approved		Supported	Nucleoplasm<br>Cytoplasmic bodies	Renal cancer:1.08e-6 (unfavourable), Head and neck cancer:1.10e-4 (favourable)	Expressed in all	Tissue enhanced		appendix: 19.3	lymph node: 15.7	Cell line enriched	6	HDLM-2: 102.4
